side,hex1,hex2,p,q,h,v,az_deg_left_positive,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source,n_fit,zhao_right_lens_row,zhao_p,zhao_q,col_type,col_type_basis,marker_evidence,R7R8_bodyIds,reiser_OL_v1_column_type,pin_distal_x,pin_distal_y,pin_distal_z,pin_proximal_x,pin_proximal_y,pin_proximal_z,pin_dir_az_left_deg,pin_dir_el_deg,lamina_centroid_x,lamina_centroid_y,lamina_centroid_z
L,14,24,5,-4,-10,1,97.45,97.45,3.26,-0.12938,0.98996,0.05687,zhao_uCT_match,1,456,4.0,-5.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:216071;R8p:216001,,80206.0,32932.0,23909.0,76903.0,32474.0,30897.0,25.3,-3.4,89180,34078,26065
L,14,25,6,-4,-11,2,101.6,101.6,3.97,-0.20063,0.97722,0.06925,zhao_uCT_match,1,474,5.0,-5.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:219198;R7y:521181,,79719.0,32113.0,23578.0,76660.0,31768.0,30566.0,23.6,-2.6,89191,33118,26285
L,14,26,7,-4,-12,3,106.6,106.6,5.47,-0.2844,0.95396,0.09525,zhao_uCT_match,1,497,6.0,-5.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:113034;R8p:139431,,79211.0,31218.0,23276.0,76383.0,30999.0,30213.0,22.2,-1.7,89361,32413,26620
L,14,27,8,-4,-13,4,112.34,112.34,6.37,-0.37781,0.9192,0.11101,zhao_uCT_match,1,516,7.0,-5.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:164001;R7y:120417,,78635.0,30414.0,23048.0,76055.0,30357.0,29953.0,20.5,-0.4,89267,31337,26921
L,14,28,9,-4,-14,5,118.26,118.26,7.03,-0.46994,0.87416,0.12244,zhao_uCT_match,1,537,8.0,-5.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:84717;R8_unclear:221674,,78178.0,29418.0,22894.0,75750.0,29634.0,29716.0,19.6,1.7,89216,30516,27308
L,14,29,10,-4,-15,6,125.32,125.32,7.68,-0.57295,0.80862,0.13364,zhao_uCT_match,1,556,9.0,-5.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1}",R7p:208377;R8p:231611,,77599.0,28681.0,22678.0,75305.0,29054.0,29376.0,18.9,3.0,89321,29701,27689
L,14,30,11,-4,-16,7,133.34,133.34,8.08,-0.67955,0.72005,0.14048,zhao_uCT_match,1,570,10.0,-5.0,unclear,,"{""Tm5a"": 1, ""Tm5b"": 2}",R7_unclear:55348;R8_unclear:201551,,76835.0,27810.0,22522.0,74575.0,28279.0,29131.0,18.9,3.8,89275,29126,28056
L,14,31,12,-4,-17,8,142.87,142.87,7.76,-0.78992,0.59814,0.1351,zhao_uCT_match,1,581,11.0,-5.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:194970;R8_unclear:186061,,76254.0,26924.0,22510.0,74042.0,27492.0,29005.0,18.8,4.7,90307,28449,28866
L,14,32,13,-4,-18,9,151.8,151.8,7.87,-0.87296,0.46817,0.13697,zhao_uCT_match,1,589,12.0,-5.0,DRA,R7d/R8d,"{""R7d"": 1, ""R8d"": 1, ""Dm-DRA1"": 1, ""Dm-DRA2"": 1}",R7d:901620;R8d:514178,,75575.0,25999.0,22617.0,73362.0,26622.0,29059.0,19.0,5.2,90320,27971,29566
L,15,2,-17,-3,13,-20,-9.59,-9.59,-33.87,0.81869,-0.13831,-0.55732,extrapolated_local_linear,17,-1,,,unclear,,{},,,83382.0,47410.0,35895.0,77757.0,43481.0,40124.0,53.1,-29.2,,,
L,15,3,-16,-3,12,-19,-3.82,-3.82,-33.95,0.82772,-0.05533,-0.5584,zhao_uCT_match,1,48,-17.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:468185;R8p:164554120,,83226.0,47447.0,35162.0,77476.0,43491.0,39413.0,53.5,-29.0,,,
L,15,4,-15,-3,11,-18,3.03,3.03,-31.09,0.85518,0.04524,-0.51636,zhao_uCT_match,1,56,-16.0,-4.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1, ""Tm5a"": 1}",,,83549.0,47009.0,34367.0,77734.0,43067.0,38725.0,53.2,-28.5,,,
L,15,5,-14,-3,10,-17,8.96,8.96,-29.25,0.86184,0.1359,-0.48864,zhao_uCT_match,1,72,-15.0,-4.0,unclear,,"{""Dm8b"": 1, ""Tm5a"": 1, ""Tm5b"": 1}",,,83851.0,46476.0,33606.0,77875.0,42534.0,38127.0,52.9,-27.7,,,
L,15,6,-13,-3,9,-16,13.98,13.98,-27.22,0.86294,0.21476,-0.4574,zhao_uCT_match,1,86,-14.0,-4.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1, ""Tm5a"": 1}",,,84024.0,46027.0,32936.0,77703.0,42109.0,37632.0,53.4,-26.5,,,
L,15,7,-12,-3,8,-15,18.88,18.88,-25.3,0.85544,0.29255,-0.42736,zhao_uCT_match,1,101,-13.0,-4.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",,,84141.0,45485.0,32335.0,77737.0,41623.0,37195.0,52.8,-25.7,,,
L,15,8,-11,-3,7,-14,24.14,24.14,-23.52,0.83675,0.37502,-0.39901,zhao_uCT_match,1,119,-12.0,-4.0,pale?,Dm8b/Tm5b home,"{""Tm5b"": 1}",R8_unclear:282023,,84454.0,44758.0,31751.0,77892.0,41060.0,36730.0,52.8,-24.2,,,
L,15,9,-10,-3,6,-13,29.11,29.11,-21.41,0.81341,0.45295,-0.36496,zhao_uCT_match,1,138,-11.0,-4.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",,,84659.0,44138.0,31313.0,77991.0,40542.0,36403.0,52.6,-23.2,,,
L,15,10,-9,-3,5,-12,33.56,33.56,-19.52,0.78544,0.521,-0.33412,zhao_uCT_match,1,156,-10.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 2, ""Tm5a"": 1}",R8y:350172;R7y:940723,,84800.0,43311.0,30640.0,78032.0,39872.0,35832.0,52.5,-22.0,,,
L,15,11,-8,-3,4,-11,38.03,38.03,-17.72,0.75032,0.58682,-0.30442,zhao_uCT_match,1,178,-9.0,-4.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:212116208;R8_unclear:357240,,84884.0,42569.0,30129.0,78062.0,39283.0,35445.0,52.1,-20.8,,,
L,15,12,-7,-3,3,-10,42.32,42.32,-15.86,0.71129,0.64759,-0.2733,zhao_uCT_match,1,198,-8.0,-4.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:360088;R8_unclear:301829,,84721.0,42083.0,29574.0,77898.0,38995.0,35017.0,51.4,-19.5,,,
L,15,13,-6,-3,2,-9,46.63,46.63,-14.06,0.66618,0.70513,-0.24289,zhao_uCT_match,1,220,-7.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Dm8b"": 1, ""Tm5a"": 1, ""Tm5b"": 1}",R8y:251769;R7y:940850,,84706.0,41107.0,29081.0,77973.0,38224.0,34683.0,50.2,-18.2,,,
L,15,14,-5,-3,1,-8,50.49,50.49,-12.16,0.6219,0.75423,-0.21065,zhao_uCT_match,1,241,-6.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:589572;R7y:255611,,84625.0,40187.0,28617.0,77913.0,37619.0,34398.0,49.3,-16.2,,,
L,15,15,-4,-3,0,-7,54.04,54.04,-9.85,0.57861,0.79747,-0.17107,zhao_uCT_match,1,262,-5.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:238882;R7y:217903,,84216.0,39266.0,27934.0,77728.0,36929.0,33956.0,47.1,-14.8,,,
L,15,16,-3,-3,-1,-6,57.96,57.96,-7.75,0.52571,0.83989,-0.13492,zhao_uCT_match,1,283,-4.0,-4.0,pale?,Dm8b/Tm5b home,"{""Tm5b"": 1}",R7_unclear:339478;R8_unclear:266406,,83875.0,38442.0,27440.0,77572.0,36472.0,33593.0,45.7,-12.6,,,
L,15,17,-2,-3,-2,-5,62.11,62.11,-5.9,0.46527,0.87918,-0.10277,zhao_uCT_match,1,306,-3.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:588096;R8p:228277,,83562.0,37725.0,26979.0,77757.0,36061.0,33266.0,42.7,-11.0,,,
L,15,18,-1,-3,-3,-4,66.3,66.3,-4.19,0.40086,0.91322,-0.07305,zhao_uCT_match,1,328,-2.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1}",R7p:211712;R8p:223467,,83434.0,36877.0,26651.0,77802.0,35379.0,33010.0,41.5,-10.0,,,
L,15,19,0,-3,-4,-3,70.9,70.9,-2.53,0.32692,0.94402,-0.04418,zhao_uCT_match,1,351,-1.0,-4.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",R7_unclear:212652;R8_unclear:214617,,82915.0,36197.0,26180.0,77737.0,34944.0,32715.0,38.4,-8.5,,,
L,15,20,1,-3,-5,-2,75.27,75.27,-0.91,0.25417,0.96703,-0.01593,zhao_uCT_match,1,376,0.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:223717;R8p:208600,,82490.0,35370.0,25712.0,77693.0,34268.0,32312.0,36.0,-7.7,,,
L,15,21,2,-3,-6,-1,79.29,79.29,0.77,0.18584,0.98249,0.01342,zhao_uCT_match,1,400,1.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:158143;R8p:197773,,82087.0,34492.0,25279.0,77610.0,33605.0,32048.0,33.5,-6.2,,,
L,15,22,3,-3,-7,0,83.25,83.25,2.21,0.11748,0.99233,0.03849,zhao_uCT_match,1,422,2.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:182000;R7y:46105,,81804.0,33574.0,25012.0,77622.0,32944.0,31807.0,31.6,-4.5,,,
L,15,23,4,-3,-8,1,87.89,87.89,3.19,0.03679,0.99777,0.0557,zhao_uCT_match,1,445,3.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:952955;R8p:155320,,81526.0,32783.0,24737.0,77630.0,32326.0,31539.0,29.8,-3.3,88818,34390,25661
L,15,24,5,-3,-9,2,92.75,92.75,4.61,-0.04786,0.99562,0.0803,zhao_uCT_match,1,467,4.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1}",R7p:224148;R8p:188826,,80948.0,32262.0,24369.0,77270.0,31928.0,31171.0,28.4,-2.5,89214,33461,25769
L,15,25,6,-3,-10,3,97.62,97.62,5.89,-0.13183,0.98595,0.10259,zhao_uCT_match,1,487,5.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:548769;R7y:205482,,80448.0,31384.0,24059.0,77197.0,31204.0,30953.0,25.2,-1.4,89138,32410,26043
L,15,26,7,-3,-11,4,102.08,102.08,7.52,-0.20752,0.96943,0.13089,zhao_uCT_match,1,510,6.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:221057;R7y:202543,,79987.0,30468.0,23811.0,76947.0,30459.0,30706.0,23.8,-0.1,89194,31760,26477
L,15,27,8,-3,-12,5,107.61,107.61,9.32,-0.29846,0.94059,0.16191,zhao_uCT_match,1,531,7.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:165735;R7y:115351,,79368.0,29815.0,23465.0,76627.0,30030.0,30287.0,21.9,1.7,89313,30698,26627
L,15,28,9,-3,-13,6,113.33,113.33,10.38,-0.38958,0.90319,0.1802,zhao_uCT_match,1,550,8.0,-4.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Tm5a"": 1}",R8y:184342;R7y:45489,,78867.0,28881.0,23291.0,76287.0,29254.0,30093.0,20.8,2.9,89159,30028,26959
L,15,29,10,-3,-14,7,119.44,119.44,11.23,-0.48214,0.85417,0.19479,zhao_uCT_match,1,568,9.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8a"": 1, ""Tm5b"": 1}",R7p:515390;R8p:143958,,78260.0,27911.0,23082.0,75832.0,28384.0,29733.0,20.1,3.8,89310,29313,27285
L,15,30,11,-3,-15,8,127.03,127.03,11.85,-0.58933,0.78135,0.20541,zhao_uCT_match,1,587,10.0,-4.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:104468;R8_unclear:199937,,77568.0,27273.0,22871.0,75217.0,27849.0,29389.0,19.8,4.8,89229,28463,27927
L,15,31,12,-3,-16,9,135.44,135.44,11.95,-0.69708,0.68647,0.207,zhao_uCT_match,1,601,11.0,-4.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Tm5b"": 1}",R7p:183489;R8p:203389,,76930.0,26268.0,22813.0,74634.0,27013.0,29255.0,19.6,6.2,90279,27802,28796
L,15,32,13,-3,-17,10,144.96,144.96,11.02,-0.80362,0.56358,0.19123,zhao_uCT_match,1,609,12.0,-4.0,unclear,,"{""Dm8a"": 1, ""Tm5a"": 1, ""Tm5b"": 1, ""Dm-DRA1"": 1, ""MeTu2a"": 2}",R7_unclear:211580;R8_unclear:901366,,76214.0,25295.0,22846.0,73928.0,26092.0,29232.0,19.7,6.7,90185,27384,29459
L,15,33,14,-3,-18,11,154.05,154.05,10.9,-0.88298,0.42961,0.18914,extrapolated_local_linear,19,-1,,,unclear,,{},,,75167.0,24788.0,23031.0,72892.0,25641.0,29357.0,19.8,7.2,90287,27029,29888
L,16,3,-16,-2,13,-18,-6.09,-6.09,-29.45,0.86584,-0.0924,-0.49171,zhao_uCT_match,1,58,-17.0,-3.0,unclear,,{},,,83862.0,47040.0,35682.0,78072.0,43144.0,39932.0,53.7,-28.5,,,
L,16,4,-15,-2,12,-17,-0.11,-0.11,-28.08,0.88232,-0.00166,-0.47065,zhao_uCT_match,1,68,-16.0,-3.0,pale?,Dm8b/Tm5b home,"{""Tm5b"": 1}",,,84150.0,46704.0,34987.0,78194.0,42810.0,39261.0,54.3,-28.0,,,
L,16,5,-14,-2,11,-16,5.76,5.76,-26.43,0.89094,0.08987,-0.44514,zhao_uCT_match,1,80,-15.0,-3.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:940974;R8p:318455,,84494.0,46165.0,34228.0,78511.0,42281.0,38666.0,53.4,-27.5,,,
L,16,6,-13,-2,10,-15,11.03,11.03,-24.51,0.89309,0.17412,-0.41481,zhao_uCT_match,1,95,-14.0,-3.0,unclear,,{},,,84760.0,45619.0,33573.0,78410.0,41783.0,38138.0,54.3,-26.1,,,
L,16,7,-12,-2,9,-14,15.85,15.85,-22.49,0.88881,0.25235,-0.38255,zhao_uCT_match,1,109,-13.0,-3.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",,,85023.0,45013.0,32984.0,78533.0,41315.0,37680.0,54.1,-24.8,,,
L,16,8,-11,-2,8,-13,20.77,20.77,-20.53,0.87563,0.33204,-0.35074,zhao_uCT_match,1,126,-12.0,-3.0,unclear,,"{""Dm8b"": 1, ""Tm5a"": 1}",,,85117.0,44466.0,32382.0,78511.0,40800.0,37242.0,53.7,-24.1,,,
L,16,9,-10,-2,7,-12,25.62,25.62,-18.59,0.85467,0.4098,-0.31875,zhao_uCT_match,1,145,-11.0,-3.0,unclear,,{},,,85527.0,43601.0,31840.0,78704.0,40091.0,36819.0,53.9,-22.6,,,
L,16,10,-9,-2,6,-11,30.11,30.11,-16.75,0.82837,0.48031,-0.28827,zhao_uCT_match,1,164,-10.0,-3.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",,,85585.0,42946.0,31243.0,78700.0,39572.0,36333.0,53.5,-21.5,,,
L,16,11,-8,-2,5,-10,34.52,34.52,-14.89,0.79621,0.54771,-0.25705,zhao_uCT_match,1,186,-9.0,-3.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",,,85646.0,42131.0,30732.0,78692.0,38939.0,35953.0,53.1,-20.2,,,
L,16,12,-7,-2,4,-9,38.53,38.53,-13.22,0.76154,0.60645,-0.22864,zhao_uCT_match,1,207,-8.0,-3.0,pale?,Dm8b/Tm5b home,"{""Tm5b"": 1}",R7_unclear:294784,,85642.0,41340.0,30202.0,78688.0,38416.0,35519.0,52.6,-18.5,,,
L,16,13,-6,-2,3,-8,42.6,42.6,-11.43,0.72148,0.66349,-0.19811,zhao_uCT_match,1,228,-7.0,-3.0,pale?,Dm8b/Tm5b home,"{""Tm5b"": 1}",,,85568.0,40601.0,29671.0,78644.0,37830.0,35113.0,51.8,-17.5,,,
L,16,14,-5,-2,2,-7,46.93,46.93,-9.52,0.6735,0.72047,-0.16531,zhao_uCT_match,1,250,-6.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:383862;R7y:412593,,85503.0,39850.0,29224.0,78599.0,37488.0,34827.0,50.9,-14.9,,,
L,16,15,-4,-2,1,-6,50.45,50.45,-7.48,0.63134,0.76451,-0.13011,zhao_uCT_match,1,271,-5.0,-3.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:257837;R8p:910541605,,85087.0,39221.0,28619.0,78353.0,36884.0,34400.0,49.4,-14.8,,,
L,16,16,-3,-2,0,-5,54.04,54.04,-5.33,0.58465,0.80595,-0.09289,zhao_uCT_match,1,294,-4.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:587543;R7y:254980,,84890.0,38082.0,28133.0,78403.0,36223.0,34155.0,47.1,-11.9,,,
L,16,17,-2,-2,-1,-4,57.87,57.87,-3.43,0.53084,0.84536,-0.05974,zhao_uCT_match,1,318,-3.0,-3.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:231394;R8_unclear:200777,,84655.0,37220.0,27697.0,78353.0,35601.0,33773.0,46.0,-10.5,,,
L,16,18,-1,-2,-2,-3,61.91,61.91,-1.71,0.4707,0.88179,-0.02986,zhao_uCT_match,1,339,-2.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:248649;R7y:222691,,84292.0,36522.0,27246.0,78407.0,35220.0,33399.0,43.7,-8.7,,,
L,16,19,0,-2,-3,-2,65.85,65.85,0.11,0.40919,0.91245,0.00196,zhao_uCT_match,1,364,-1.0,-3.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",R7_unclear:222629;R8_unclear:209737,,83951.0,35561.0,26845.0,78319.0,34385.0,33133.0,41.8,-7.9,,,
L,16,20,1,-2,-4,-1,70.3,70.3,1.43,0.33703,0.94117,0.02488,zhao_uCT_match,1,387,0.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 2}",R8y:207875;R7y:204362,,83431.0,34753.0,26305.0,78253.0,33851.0,32701.0,39.0,-6.3,,,
L,16,21,2,-2,-5,0,74.68,74.68,2.53,0.2639,0.96354,0.04413,zhao_uCT_match,1,410,1.0,-3.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:206218;R8p:227168,,82908.0,34025.0,25851.0,78111.0,33285.0,32415.0,36.2,-5.2,,,
L,16,22,3,-2,-6,1,78.82,78.82,3.72,0.19351,0.97895,0.06489,zhao_uCT_match,1,434,2.0,-3.0,unclear,,{},R7_unclear:160370;R8_unclear:562479,,82566.0,33035.0,25546.0,78090.0,32535.0,32147.0,34.1,-3.6,,,
L,16,23,4,-2,-7,2,83.59,83.59,4.91,0.11123,0.9901,0.08566,zhao_uCT_match,1,454,3.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:940816;R7y:531258,,82158.0,32061.0,25243.0,77976.0,31727.0,31888.0,32.2,-2.4,88226,33574,25525
L,16,24,5,-2,-8,3,88.42,88.42,6.4,0.02737,0.9934,0.11142,zhao_uCT_match,1,479,4.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:184838;R7y:162985,,81630.0,31352.0,24875.0,77775.0,31173.0,31559.0,30.0,-1.3,88794,32894,25715
L,16,25,6,-2,-9,4,93.28,93.28,8.1,-0.05664,0.98841,0.14088,zhao_uCT_match,1,500,5.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:172875;R7y:943654,,81131.0,30480.0,24564.0,77564.0,30504.0,31302.0,27.9,0.2,88874,31763,25865
L,16,26,7,-2,-10,5,98.51,98.51,9.88,-0.1458,0.97432,0.1716,zhao_uCT_match,1,524,6.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:216470;R7y:207310,,80525.0,29722.0,24260.0,77331.0,29937.0,30998.0,25.4,1.7,89178,31175,26168
L,16,27,8,-2,-11,6,103.62,103.62,12.06,-0.23022,0.95044,0.20896,zhao_uCT_match,1,544,7.0,-3.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:207647;R8p:221457,,79941.0,28816.0,23955.0,77028.0,29188.0,30654.0,23.5,2.9,,,
L,16,28,9,-2,-12,7,109.09,109.09,13.7,-0.3178,0.91812,0.23677,zhao_uCT_match,1,565,8.0,-3.0,pale,R7,"{""R7p"": 1, ""R8p"": 1, ""Dm8b"": 1, ""Tm5b"": 1}",R7p:109759;R8p:166471,,79320.0,28102.0,23638.0,76580.0,28594.0,30290.0,22.4,3.9,89216,29505,26882
L,16,29,10,-2,-13,8,114.84,114.84,14.9,-0.40599,0.87696,0.25713,zhao_uCT_match,1,586,9.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:182787;R7y:117405,,78778.0,27277.0,23475.0,76198.0,27874.0,30077.0,21.3,4.8,,,
L,16,30,11,-2,-14,9,122.06,122.06,15.72,-0.51087,0.81582,0.27101,zhao_uCT_match,1,603,10.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Tm5a"": 1}",R8y:147436;R7y:217192,,78197.0,26395.0,23336.0,75691.0,27178.0,29778.0,21.3,6.5,89084,27889,27754
L,16,31,12,-2,-15,10,129.44,129.44,16.21,-0.61007,0.74154,0.27918,zhao_uCT_match,1,617,11.0,-3.0,unclear,,{},R7_unclear:184421;R8_unclear:195035,,77628.0,25677.0,23200.0,75190.0,26531.0,29558.0,21.0,7.1,89582,27174,28584
L,16,32,13,-2,-16,11,137.84,137.84,16.11,-0.71214,0.64486,0.2775,zhao_uCT_match,1,629,12.0,-3.0,yellow,R7,"{""R7y"": 1, ""R8y"": 1, ""Dm8a"": 1, ""Tm5a"": 1}",R8y:214991;R7y:209761,,76854.0,24865.0,23123.0,74434.0,25756.0,29417.0,21.0,7.5,90260,26709,29251
L,16,33,14,-2,-17,12,148.47,148.47,15.31,-0.82214,0.50434,0.26406,zhao_uCT_match,1,633,13.0,-3.0,DRA,R7d/R8d,"{""R7d"": 1, ""R8d"": 1}",R7d:548189;R8d:66114,,75833.0,23895.0,23266.0,73441.0,24905.0,29528.0,20.9,8.6,89964,26191,29790
L,17,3,-16,-1,14,-17,-9.75,-9.75,-27.01,0.8781,-0.15081,-0.45409,extrapolated_local_linear,18,-1,,,unclear,,{},,,84910.0,46193.0,36496.0,78980.0,42373.0,40714.0,54.6,-27.7,,,
L,17,4,-15,-1,13,-16,-2.93,-2.93,-25.28,0.90308,-0.04627,-0.42698,zhao_uCT_match,1,79,-16.0,-2.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1, ""Tm5a"": 1}",,,84775.0,46264.0,35583.0,78809.0,42495.0,39834.0,54.5,-27.2,,,
L,17,5,-14,-1,12,-15,2.63,2.63,-23.6,0.91542,0.04202,-0.40031,zhao_uCT_match,1,89,-15.0,-2.0,unclear,,{},,,85167.0,45718.0,34868.0,79184.0,41985.0,39142.0,54.5,-26.9,,,
L,17,6,-13,-1,11,-14,7.79,7.79,-22.17,0.9175,0.12558,-0.37739,zhao_uCT_match,1,105,-14.0,-2.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",,,85503.0,45140.0,34241.0,79153.0,41453.0,38679.0,55.1,-25.5,,,
L,17,7,-12,-1,10,-13,12.76,12.76,-20.24,0.91507,0.20716,-0.34601,zhao_uCT_match,1,121,-13.0,-2.0,yellow?,Dm8a/Tm5a home,"{""Dm8a"": 1, ""Tm5a"": 1}",,,85900.0,44397.0,33645.0,79333.0,40798.0,38222.0,55.1,-24.2,,,
L,17,8,-11,-1,9,-12,17.58,17.58,-18.2,0.90558,0.28695,-0.31239,zhao_uCT_match,1,136,-12.0,-2.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",,,86029.0,43798.0,33063.0,79267.0,40288.0,37758.0,55.2,-23.1,,,
L,17,9,-10,-1,8,-11,22.28,22.28,-16.07,0.88915,0.36436,-0.27685,zhao_uCT_match,1,155,-11.0,-2.0,unclear,,"{""Dm8b"": 1, ""Tm5a"": 1, ""Tm5b"": 1}",,,86215.0,43209.0,32536.0,79357.0,39826.0,37396.0,54.7,-21.9,,,
L,17,10,-9,-1,7,-10,26.78,26.78,-14.45,0.86447,0.43632,-0.24962,zhao_uCT_match,1,174,-10.0,-2.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1, ""Tm5b"": 1}",,,86363.0,42390.0,31857.0,79358.0,39159.0,36836.0,54.6,-20.6,,,
L,17,11,-8,-1,6,-9,31.07,31.07,-12.54,0.83615,0.50372,-0.21706,zhao_uCT_match,1,195,-9.0,-2.0,pale?,Dm8b/Tm5b home,"{""Dm8b"": 1}",,,86335.0,41698.0,31279.0,79323.0,38610.0,36369.0,54.0,-19.6,,,
L,17,12,-7,-1,5,-8,35.34,35.34,-10.61,0.80182,0.56851,-0.18409,zhao_uCT_match,1,216,-8.0,-2.0,unclear,,"{""Dm8b"": 1, ""Tm5a"": 1, ""Tm5b"": 1}",R8_unclear:347926,,86368.0,40912.0,30795.0,79322.0,38029.0,35914.0,54.0,-18.3,,,
L,17,13,-6,-1,4,-7,38.92,38.92,-8.86,0.76875,0.62073,-0.15401,zhao_uCT_match,1,238,-7.0,-2.0,unclear,,{},R8_unclear:679610194,,86387.0,40103.0,30331.0,79331.0,37509.0,35563.0,53.4,-16.5,,,
