side,hex1,hex2,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source
L,6,19,125.52,-29.17,-0.50728,0.71068,-0.48743,zhao_uCT_match
L,6,20,131.88,-26.97,-0.59497,0.66357,-0.45353,zhao_uCT_match
L,6,21,133.79,-24.4,-0.63024,0.65736,-0.41314,zhao_uCT_match
L,6,22,141.09,-23.44,-0.71395,0.5762,-0.39783,extrapolated_local_linear
L,7,1,-12.61,-66.56,0.38815,-0.08685,-0.9175,extrapolated_local_linear
L,7,2,-0.32,-66.16,0.40418,-0.00228,-0.91467,zhao_uCT_match
L,7,3,15.61,-61.6,0.45807,0.12799,-0.87965,zhao_uCT_match
L,7,4,23.62,-60.05,0.45747,0.20002,-0.86644,zhao_uCT_match
L,7,5,33.13,-58.22,0.44096,0.28783,-0.85012,zhao_uCT_match
L,7,6,41.54,-56.01,0.41846,0.37072,-0.82913,zhao_uCT_match
L,7,7,49.14,-53.62,0.38802,0.44854,-0.80514,zhao_uCT_match
L,7,8,56.28,-51.27,0.34727,0.52041,-0.78012,zhao_uCT_match
L,7,9,63.15,-48.58,0.2988,0.59019,-0.74993,zhao_uCT_match
L,7,10,69.64,-45.86,0.24235,0.65292,-0.71761,zhao_uCT_match
L,7,11,75.5,-43.42,0.18193,0.70322,-0.6873,zhao_uCT_match
L,7,12,81.28,-41.11,0.11428,0.74471,-0.65753,zhao_uCT_match
L,7,13,86.5,-38.94,0.04748,0.77636,-0.6285,zhao_uCT_match
L,7,14,92.11,-36.46,-0.02967,0.80373,-0.59425,zhao_uCT_match
L,7,15,97.44,-34.23,-0.10706,0.81978,-0.56258,zhao_uCT_match
L,7,16,102.36,-31.81,-0.18188,0.83012,-0.52709,zhao_uCT_match
L,7,17,107.28,-29.6,-0.25826,0.83028,-0.4939,zhao_uCT_match
L,7,18,112.36,-28.1,-0.3356,0.81578,-0.47103,zhao_uCT_match
L,7,19,117.73,-26.55,-0.41618,0.7918,-0.44705,zhao_uCT_match
L,7,20,122.78,-24.63,-0.49218,0.76423,-0.4168,zhao_uCT_match
L,7,21,127.66,-22.68,-0.56366,0.73046,-0.38564,zhao_uCT_match
L,7,22,132.44,-20.64,-0.63156,0.69056,-0.3525,zhao_uCT_match
L,7,23,140.19,-20.41,-0.71991,0.6001,-0.34872,zhao_uCT_match
L,7,24,146.46,-19.25,-0.78689,0.52163,-0.32972,extrapolated_local_linear
L,8,1,-8.54,-62.29,0.45988,-0.06908,-0.88529,extrapolated_local_linear
L,8,2,4.35,-61.29,0.47897,0.03644,-0.87707,zhao_uCT_match
L,8,3,13.23,-58.32,0.51129,0.12023,-0.85096,zhao_uCT_match
