side,hex1,hex2,az_deg_ipsi,el_deg,dir_front,dir_left,dir_up,source
L,15,24,92.75,4.61,-0.04786,0.99562,0.0803,zhao_uCT_match
L,15,25,97.62,5.89,-0.13183,0.98595,0.10259,zhao_uCT_match
L,15,26,102.08,7.52,-0.20752,0.96943,0.13089,zhao_uCT_match
L,15,27,107.61,9.32,-0.29846,0.94059,0.16191,zhao_uCT_match
L,15,28,113.33,10.38,-0.38958,0.90319,0.1802,zhao_uCT_match
L,15,29,119.44,11.23,-0.48214,0.85417,0.19479,zhao_uCT_match
L,15,30,127.03,11.85,-0.58933,0.78135,0.20541,zhao_uCT_match
L,15,31,135.44,11.95,-0.69708,0.68647,0.207,zhao_uCT_match
L,15,32,144.96,11.02,-0.80362,0.56358,0.19123,zhao_uCT_match
L,15,33,154.05,10.9,-0.88298,0.42961,0.18914,extrapolated_local_linear
L,16,3,-6.09,-29.45,0.86584,-0.0924,-0.49171,zhao_uCT_match
L,16,4,-0.11,-28.08,0.88232,-0.00166,-0.47065,zhao_uCT_match
L,16,5,5.76,-26.43,0.89094,0.08987,-0.44514,zhao_uCT_match
L,16,6,11.03,-24.51,0.89309,0.17412,-0.41481,zhao_uCT_match
L,16,7,15.85,-22.49,0.88881,0.25235,-0.38255,zhao_uCT_match
L,16,8,20.77,-20.53,0.87563,0.33204,-0.35074,zhao_uCT_match
L,16,9,25.62,-18.59,0.85467,0.4098,-0.31875,zhao_uCT_match
L,16,10,30.11,-16.75,0.82837,0.48031,-0.28827,zhao_uCT_match
L,16,11,34.52,-14.89,0.79621,0.54771,-0.25705,zhao_uCT_match
L,16,12,38.53,-13.22,0.76154,0.60645,-0.22864,zhao_uCT_match
L,16,13,42.6,-11.43,0.72148,0.66349,-0.19811,zhao_uCT_match
L,16,14,46.93,-9.52,0.6735,0.72047,-0.16531,zhao_uCT_match
L,16,15,50.45,-7.48,0.63134,0.76451,-0.13011,zhao_uCT_match
L,16,16,54.04,-5.33,0.58465,0.80595,-0.09289,zhao_uCT_match
L,16,17,57.87,-3.43,0.53084,0.84536,-0.05974,zhao_uCT_match
L,16,18,61.91,-1.71,0.4707,0.88179,-0.02986,zhao_uCT_match
L,16,19,65.85,0.11,0.40919,0.91245,0.00196,zhao_uCT_match
L,16,20,70.3,1.43,0.33703,0.94117,0.02488,zhao_uCT_match
L,16,21,74.68,2.53,0.2639,0.96354,0.04413,zhao_uCT_match
L,16,22,78.82,3.72,0.19351,0.97895,0.06489,zhao_uCT_match
L,16,23,83.59,4.91,0.11123,0.9901,0.08566,zhao_uCT_match
L,16,24,88.42,6.4,0.02737,0.9934,0.11142,zhao_uCT_match
L,16,25,93.28,8.1,-0.05664,0.98841,0.14088,zhao_uCT_match
L,16,26,98.51,9.88,-0.1458,0.97432,0.1716,zhao_uCT_match
L,16,27,103.62,12.06,-0.23022,0.95044,0.20896,zhao_uCT_match
L,16,28,109.09,13.7,-0.3178,0.91812,0.23677,zhao_uCT_match
L,16,29,114.84,14.9,-0.40599,0.87696,0.25713,zhao_uCT_match
L,16,30,122.06,15.72,-0.51087,0.81582,0.27101,zhao_uCT_match
L,16,31,129.44,16.21,-0.61007,0.74154,0.27918,zhao_uCT_match
L,16,32,137.84,16.11,-0.71214,0.64486,0.2775,zhao_uCT_match
L,16,33,148.47,15.31,-0.82214,0.50434,0.26406,zhao_uCT_match
L,17,3,-9.75,-27.01,0.8781,-0.15081,-0.45409,extrapolated_local_linear
L,17,4,-2.93,-25.28,0.90308,-0.04627,-0.42698,zhao_uCT_match
L,17,5,2.63,-23.6,0.91542,0.04202,-0.40031,zhao_uCT_match
L,17,6,7.79,-22.17,0.9175,0.12558,-0.37739,zhao_uCT_match
L,17,7,12.76,-20.24,0.91507,0.20716,-0.34601,zhao_uCT_match
L,17,8,17.58,-18.2,0.90558,0.28695,-0.31239,zhao_uCT_match
L,17,9,22.28,-16.07,0.88915,0.36436,-0.27685,zhao_uCT_match
L,17,10,26.78,-14.45,0.86447,0.43632,-0.24962,zhao_uCT_match
L,17,11,31.07,-12.54,0.83615,0.50372,-0.21706,zhao_uCT_match
L,17,12,35.34,-10.61,0.80182,0.56851,-0.18409,zhao_uCT_match
L,17,13,38.92,-8.86,0.76875,0.62073,-0.15401,zhao_uCT_match
L,17,14,42.89,-6.96,0.72722,0.67561,-0.1212,zhao_uCT_match
L,17,15,46.81,-5.06,0.6818,0.7262,-0.08823,zhao_uCT_match
L,17,16,50.41,-3.24,0.63624,0.76942,-0.05645,zhao_uCT_match
L,17,17,53.9,-1.14,0.58911,0.80781,-0.01996,zhao_uCT_match
L,17,18,57.59,0.45,0.53593,0.84422,0.00787,zhao_uCT_match
L,17,19,61.4,2.04,0.47842,0.87741,0.03556,zhao_uCT_match
L,17,20,65.45,3.48,0.41475,0.90791,0.06068,zhao_uCT_match
L,17,21,70.03,4.15,0.34056,0.93743,0.07242,zhao_uCT_match
L,17,22,74.58,5.58,0.26471,0.95941,0.09726,zhao_uCT_match
L,17,23,79.28,7.33,0.18442,0.97453,0.1276,zhao_uCT_match
L,17,24,84.26,8.71,0.0988,0.98353,0.15138,zhao_uCT_match
L,17,25,89.23,10.28,0.01322,0.98387,0.17842,zhao_uCT_match
L,17,26,94.37,12.1,-0.07444,0.97496,0.20956,zhao_uCT_match
L,17,27,99.83,14.5,-0.16529,0.95394,0.25036,zhao_uCT_match
L,17,28,105.18,16.45,-0.25119,0.92558,0.28321,zhao_uCT_match
L,17,29,110.58,18.05,-0.3342,0.89009,0.30992,zhao_uCT_match
L,17,30,117.5,19.56,-0.43505,0.83582,0.33487,zhao_uCT_match
L,17,31,124.94,20.4,-0.53684,0.76834,0.34851,zhao_uCT_match
L,17,32,132.3,20.44,-0.63064,0.69309,0.34916,zhao_uCT_match
L,17,33,141.29,18.94,-0.73809,0.59148,0.32462,zhao_uCT_match
L,18,4,-7.89,-23.31,0.90971,-0.12608,-0.39565,zhao_uCT_match
L,18,5,-0.94,-21.4,0.93094,-0.01525,-0.36486,zhao_uCT_match
L,18,6,4.41,-19.76,0.93836,0.07236,-0.338,zhao_uCT_match
L,18,7,9.5,-18.02,0.93791,0.15694,-0.30936,zhao_uCT_match
L,18,8,14.37,-15.81,0.93207,0.23873,-0.27248,zhao_uCT_match
L,18,9,18.7,-13.53,0.92092,0.31168,-0.234,zhao_uCT_match
L,18,10,23.22,-11.82,0.8995,0.38595,-0.2048,zhao_uCT_match
L,18,11,27.52,-10.16,0.87298,0.45474,-0.17637,zhao_uCT_match
L,18,12,31.71,-8.27,0.84185,0.52022,-0.14376,zhao_uCT_match
L,18,13,35.65,-6.45,0.80739,0.57921,-0.11241,zhao_uCT_match
L,18,14,39.04,-4.6,0.77415,0.62789,-0.08025,zhao_uCT_match
L,18,15,42.44,-2.57,0.7372,0.67418,-0.04486,zhao_uCT_match
L,18,16,46.24,-0.7,0.69153,0.72224,-0.01216,zhao_uCT_match
L,18,17,49.83,1.11,0.64497,0.76397,0.01933,zhao_uCT_match
L,18,18,53.63,2.53,0.59242,0.80442,0.04416,zhao_uCT_match
L,18,19,57.48,3.8,0.53646,0.84133,0.06623,zhao_uCT_match
L,18,20,61.46,4.86,0.47601,0.87535,0.08474,zhao_uCT_match
L,18,21,65.64,6.06,0.41023,0.90585,0.10556,zhao_uCT_match
L,18,22,70.28,7.43,0.33464,0.93342,0.1294,zhao_uCT_match
L,18,23,75.09,9.63,0.25375,0.95271,0.1672,zhao_uCT_match
L,18,24,79.92,11.36,0.17162,0.96528,0.19691,zhao_uCT_match
L,18,25,85.13,12.76,0.08285,0.97179,0.22083,zhao_uCT_match
L,18,26,90.49,14.55,-0.0082,0.96791,0.25115,zhao_uCT_match
L,18,27,95.64,16.91,-0.09403,0.95211,0.29093,zhao_uCT_match
L,18,28,101.39,19.03,-0.18665,0.92676,0.32601,zhao_uCT_match
L,18,29,107.04,20.88,-0.27378,0.89333,0.35638,zhao_uCT_match
L,18,30,113.03,22.79,-0.3606,0.84849,0.38735,zhao_uCT_match
L,18,31,120.17,23.99,-0.4592,0.78985,0.40652,zhao_uCT_match
L,18,32,127.94,24.58,-0.55915,0.71721,0.41589,zhao_uCT_match
L,18,33,135.73,23.91,-0.65463,0.63815,0.40524,zhao_uCT_match
L,18,34,144.35,22.41,-0.75118,0.53886,0.38126,zhao_uCT_match
L,19,4,-10.41,-20.83,0.91923,-0.16893,-0.35563,extrapolated_local_linear
L,19,5,-5.04,-18.29,0.94579,-0.08346,-0.31388,zhao_uCT_match
L,19,6,0.9,-17.41,0.95406,0.015,-0.29925,zhao_uCT_match
L,19,7,5.98,-15.53,0.95824,0.10042,-0.26774,zhao_uCT_match
L,19,8,10.93,-13.59,0.95437,0.1843,-0.23498,zhao_uCT_match
L,19,9,15.3,-11.4,0.94553,0.25864,-0.19767,zhao_uCT_match
L,19,10,19.57,-9.23,0.93005,0.33057,-0.1604,zhao_uCT_match
L,19,11,23.51,-7.44,0.90928,0.39554,-0.12943,zhao_uCT_match
L,19,12,27.54,-5.79,0.88213,0.46008,-0.10084,zhao_uCT_match
L,19,13,31.84,-4.08,0.8474,0.52616,-0.07117,zhao_uCT_match
L,19,14,35.61,-2.35,0.81229,0.58182,-0.04094,zhao_uCT_match
L,19,15,38.93,-0.31,0.77793,0.62833,-0.00539,zhao_uCT_match
L,19,16,42.25,1.63,0.73992,0.6721,0.02845,zhao_uCT_match
L,19,17,45.85,3.17,0.69545,0.71644,0.05537,zhao_uCT_match
L,19,18,49.7,4.25,0.64494,0.76062,0.07414,zhao_uCT_match
L,19,19,53.57,5.33,0.5913,0.80109,0.09287,zhao_uCT_match
L,19,20,57.45,6.76,0.53428,0.83706,0.11777,zhao_uCT_match
L,19,21,61.65,8.31,0.4699,0.87081,0.14451,zhao_uCT_match
L,19,22,66.38,9.66,0.39501,0.90322,0.16779,zhao_uCT_match
L,19,23,71.17,11.49,0.31636,0.92748,0.19924,zhao_uCT_match
L,19,24,75.83,13.72,0.23777,0.94192,0.23719,zhao_uCT_match
L,19,25,80.77,15.35,0.15472,0.95182,0.26475,zhao_uCT_match
L,19,26,86.21,17.19,0.06312,0.95326,0.2955,zhao_uCT_match
L,19,27,91.41,19.88,-0.02315,0.94012,0.34006,zhao_uCT_match
L,19,28,97.2,21.96,-0.11627,0.92014,0.37394,zhao_uCT_match
L,19,29,103.42,23.34,-0.21305,0.89308,0.39626,zhao_uCT_match
L,19,30,109.38,25.28,-0.29999,0.853,0.42707,zhao_uCT_match
L,19,31,115.84,27.16,-0.38786,0.80072,0.45652,zhao_uCT_match
L,19,32,123.39,28.31,-0.48453,0.7351,0.47418,zhao_uCT_match
L,19,33,131.73,28.42,-0.58536,0.65634,0.476,zhao_uCT_match
L,19,34,140.01,27.84,-0.67753,0.56822,0.46699,zhao_uCT_match
L,20,5,-7.68,-17.64,0.94442,-0.12742,-0.30304,extrapolated_local_linear
L,20,6,-2.18,-16.45,0.95838,-0.03647,-0.28315,zhao_uCT_match
L,20,7,2.72,-13.44,0.97151,0.04613,-0.23247,zhao_uCT_match
L,20,8,7.32,-11.23,0.97286,0.12491,-0.1948,zhao_uCT_match
L,20,9,11.88,-9.43,0.96535,0.20312,-0.16384,zhao_uCT_match
L,20,10,16.01,-7.19,0.95368,0.27359,-0.12511,zhao_uCT_match
L,20,11,19.73,-5.06,0.93765,0.33621,-0.08821,zhao_uCT_match
L,20,12,23.17,-3.28,0.91785,0.39279,-0.05714,zhao_uCT_match
L,20,13,27.32,-1.47,0.8882,0.45875,-0.02565,zhao_uCT_match
L,20,14,31.58,0.24,0.85191,0.52368,0.00422,zhao_uCT_match
L,20,15,35.33,1.91,0.81535,0.57801,0.03328,zhao_uCT_match
L,20,16,38.77,3.36,0.7783,0.62515,0.05864,zhao_uCT_match
L,20,17,42.29,4.64,0.73731,0.67069,0.08092,zhao_uCT_match
L,20,18,46.0,5.52,0.69137,0.71605,0.09627,zhao_uCT_match
L,20,19,50.07,6.83,0.63729,0.76139,0.1189,zhao_uCT_match
L,20,20,54.01,8.47,0.58131,0.80026,0.14721,zhao_uCT_match
L,20,21,58.04,10.43,0.5206,0.83438,0.18106,zhao_uCT_match
L,20,22,62.51,12.2,0.45118,0.86705,0.21135,zhao_uCT_match
L,20,23,67.25,13.83,0.37545,0.89551,0.23896,zhao_uCT_match
L,20,24,71.76,15.88,0.30101,0.9135,0.27369,zhao_uCT_match
L,20,25,76.64,18.14,0.21953,0.92462,0.31126,zhao_uCT_match
L,20,26,82.01,19.79,0.13085,0.93181,0.33855,zhao_uCT_match
L,20,27,87.27,22.2,0.04414,0.92482,0.37784,zhao_uCT_match
L,20,28,92.8,24.71,-0.04438,0.90736,0.41802,zhao_uCT_match
L,20,29,98.94,26.4,-0.13912,0.88481,0.44469,zhao_uCT_match
L,20,30,105.26,27.66,-0.23305,0.85451,0.46422,zhao_uCT_match
L,20,31,111.99,29.9,-0.32463,0.80383,0.49847,zhao_uCT_match
L,20,32,119.43,31.71,-0.41807,0.74095,0.52556,zhao_uCT_match
L,20,33,127.44,32.41,-0.51324,0.67026,0.53603,zhao_uCT_match
L,20,34,136.7,32.0,-0.61722,0.58157,0.52992,zhao_uCT_match
L,20,35,146.38,30.7,-0.71602,0.47617,0.51048,zhao_uCT_match
L,21,6,-4.92,-14.53,0.96446,-0.0831,-0.25082,zhao_uCT_match
L,21,7,-0.3,-12.12,0.97769,-0.00507,-0.21001,zhao_uCT_match
L,21,8,4.11,-9.63,0.98337,0.0707,-0.16728,zhao_uCT_match
L,21,9,8.12,-7.25,0.98206,0.14016,-0.12615,zhao_uCT_match
L,21,10,12.0,-5.19,0.97414,0.20706,-0.09037,zhao_uCT_match
L,21,11,16.23,-3.25,0.95858,0.2791,-0.05672,zhao_uCT_match
L,21,12,19.89,-1.41,0.94005,0.34014,-0.02462,zhao_uCT_match
L,21,13,23.38,0.48,0.91786,0.39681,0.00844,zhao_uCT_match
L,21,14,27.39,2.43,0.88706,0.4597,0.04244,zhao_uCT_match
L,21,15,31.65,3.87,0.84932,0.52354,0.0675,zhao_uCT_match
L,21,16,35.33,4.95,0.81276,0.57618,0.08622,zhao_uCT_match
L,21,17,38.94,5.89,0.77373,0.62516,0.10256,zhao_uCT_match
L,21,18,42.66,7.21,0.72954,0.67231,0.12554,zhao_uCT_match
L,21,19,46.66,8.8,0.67823,0.71874,0.15301,zhao_uCT_match
L,21,20,50.66,10.62,0.62305,0.76018,0.18421,zhao_uCT_match
L,21,21,54.81,12.52,0.56253,0.79786,0.21676,zhao_uCT_match
L,21,22,58.97,14.41,0.4993,0.82992,0.24887,zhao_uCT_match
L,21,23,63.33,16.31,0.43075,0.85764,0.28091,zhao_uCT_match
L,21,24,67.73,18.46,0.35939,0.8778,0.31671,zhao_uCT_match
L,21,25,72.45,20.68,0.2821,0.89203,0.35313,zhao_uCT_match
L,21,26,77.95,22.76,0.19255,0.90181,0.38688,zhao_uCT_match
L,21,27,83.62,24.75,0.10094,0.9025,0.4187,zhao_uCT_match
L,21,28,88.93,26.96,0.01667,0.89114,0.45341,zhao_uCT_match
L,21,29,94.74,29.52,-0.07186,0.86723,0.49269,zhao_uCT_match
L,21,30,101.22,30.91,-0.1669,0.84157,0.51371,zhao_uCT_match
L,21,31,108.0,32.51,-0.2606,0.80204,0.53742,zhao_uCT_match
L,21,32,115.61,34.53,-0.35605,0.74288,0.56689,zhao_uCT_match
L,21,33,123.41,35.59,-0.44778,0.67877,0.58204,zhao_uCT_match
L,21,34,131.85,35.71,-0.5418,0.60481,0.58366,zhao_uCT_match
L,21,35,140.15,34.84,-0.63018,0.52591,0.57122,zhao_uCT_match
L,21,36,150.29,33.46,-0.72458,0.41351,0.55136,extrapolated_local_linear
L,22,7,-4.24,-10.79,0.97964,-0.07261,-0.18719,zhao_uCT_match
L,22,8,0.79,-8.54,0.98882,0.01359,-0.14851,zhao_uCT_match
L,22,9,4.83,-6.0,0.99099,0.08369,-0.10453,zhao_uCT_match
L,22,10,8.67,-3.27,0.98697,0.15042,-0.05706,zhao_uCT_match
L,22,11,12.31,-1.27,0.97678,0.21311,-0.02209,zhao_uCT_match
L,22,12,15.95,0.38,0.96148,0.27478,0.00662,zhao_uCT_match
L,22,13,19.9,2.05,0.93967,0.34021,0.03573,zhao_uCT_match
L,22,14,23.69,3.76,0.91372,0.401,0.06565,zhao_uCT_match
L,22,15,27.78,5.36,0.88088,0.46403,0.09337,zhao_uCT_match
L,22,16,31.84,6.33,0.84435,0.52435,0.11019,zhao_uCT_match
L,22,17,35.7,7.6,0.80495,0.57841,0.13229,zhao_uCT_match
L,22,18,39.31,9.11,0.76397,0.62551,0.15836,zhao_uCT_match
L,22,19,42.91,10.92,0.7192,0.66849,0.18939,zhao_uCT_match
L,22,20,46.86,12.8,0.66685,0.71151,0.2215,zhao_uCT_match
L,22,21,50.96,14.74,0.60916,0.75113,0.25441,zhao_uCT_match
L,22,22,54.95,16.55,0.55053,0.78469,0.28492,zhao_uCT_match
L,22,23,59.19,18.58,0.48545,0.81415,0.31858,zhao_uCT_match
L,22,24,63.67,20.79,0.41468,0.83786,0.35501,zhao_uCT_match
L,22,25,68.39,23.21,0.3385,0.85445,0.39414,zhao_uCT_match
L,22,26,73.56,25.44,0.25552,0.8661,0.42963,zhao_uCT_match
L,22,27,79.39,27.44,0.16347,0.87229,0.46086,zhao_uCT_match
L,22,28,85.31,29.35,0.07121,0.86869,0.49021,zhao_uCT_match
L,22,29,90.81,31.76,-0.01198,0.85015,0.5264,zhao_uCT_match
L,22,30,97.07,34.13,-0.10189,0.82146,0.56109,zhao_uCT_match
L,22,31,104.17,35.87,-0.19843,0.78566,0.58597,zhao_uCT_match
L,22,32,111.69,37.41,-0.2936,0.73808,0.60748,zhao_uCT_match
L,22,33,119.62,38.64,-0.386,0.67906,0.6244,zhao_uCT_match
L,22,34,127.71,39.17,-0.47419,0.61342,0.63156,zhao_uCT_match
L,22,35,136.8,38.69,-0.56896,0.53427,0.62517,zhao_uCT_match
L,22,36,147.01,37.36,-0.66673,0.43277,0.60679,zhao_uCT_match
L,23,8,-3.35,-7.28,0.99023,-0.05803,-0.12679,zhao_uCT_match
L,23,9,1.0,-4.82,0.99632,0.01741,-0.08397,zhao_uCT_match
L,23,10,4.99,-1.92,0.99566,0.08688,-0.03345,zhao_uCT_match
L,23,11,8.83,0.47,0.98812,0.15345,0.00822,zhao_uCT_match
L,23,12,12.15,2.24,0.97684,0.21037,0.03907,zhao_uCT_match
L,23,13,15.95,3.69,0.9595,0.27426,0.06432,zhao_uCT_match
L,23,14,19.89,4.9,0.93691,0.33897,0.0854,zhao_uCT_match
L,23,15,23.92,6.13,0.90891,0.40309,0.10682,zhao_uCT_match
L,23,16,28.15,7.91,0.87336,0.46724,0.13756,zhao_uCT_match
L,23,17,32.15,9.77,0.8344,0.52439,0.16969,zhao_uCT_match
L,23,18,35.71,11.52,0.79562,0.57195,0.19966,zhao_uCT_match
L,23,19,39.11,13.28,0.75522,0.6139,0.22971,zhao_uCT_match
L,23,20,42.41,15.03,0.71308,0.65132,0.2594,zhao_uCT_match
L,23,21,46.31,17.06,0.66042,0.69121,0.29339,zhao_uCT_match
L,23,22,50.48,18.81,0.6024,0.73014,0.32249,zhao_uCT_match
L,23,23,55.02,20.85,0.5357,0.76573,0.35593,zhao_uCT_match
L,23,24,59.78,23.12,0.46285,0.79471,0.39268,zhao_uCT_match
L,23,25,64.41,25.74,0.38899,0.81242,0.43436,zhao_uCT_match
L,23,26,69.22,28.1,0.31295,0.82472,0.47106,zhao_uCT_match
L,23,27,74.97,30.23,0.22398,0.83443,0.50354,zhao_uCT_match
L,23,28,80.84,32.45,0.13438,0.83308,0.53658,zhao_uCT_match
L,23,29,86.65,34.72,0.048,0.82058,0.56951,zhao_uCT_match
L,23,30,92.68,36.97,-0.03738,0.79808,0.60139,zhao_uCT_match
L,23,31,99.94,39.26,-0.1336,0.76272,0.63278,zhao_uCT_match
L,23,32,108.11,41.09,-0.23433,0.7163,0.65727,zhao_uCT_match
L,23,33,116.02,42.23,-0.3248,0.6654,0.67212,zhao_uCT_match
L,23,34,124.15,42.71,-0.41247,0.60814,0.67826,zhao_uCT_match
L,23,35,133.11,42.91,-0.50054,0.53462,0.68091,zhao_uCT_match
L,23,36,143.43,41.23,-0.60397,0.44808,0.65913,zhao_uCT_match
L,23,37,153.13,40.1,-0.68229,0.34576,0.64415,extrapolated_local_linear
L,24,9,-3.15,-4.04,0.99601,-0.05473,-0.07053,zhao_uCT_match
L,24,10,0.66,-0.74,0.99985,0.01158,-0.01288,zhao_uCT_match
L,24,11,4.73,2.07,0.99594,0.0824,0.03617,zhao_uCT_match
L,24,12,8.41,3.77,0.98711,0.14591,0.06571,zhao_uCT_match
L,24,13,12.37,5.14,0.97284,0.2134,0.08965,zhao_uCT_match
L,24,14,16.07,6.23,0.95524,0.27521,0.10853,zhao_uCT_match
L,24,15,19.91,7.51,0.9322,0.33755,0.13065,zhao_uCT_match
L,24,16,23.88,9.44,0.90201,0.39934,0.16401,zhao_uCT_match
L,24,17,27.89,11.81,0.86516,0.45784,0.20465,zhao_uCT_match
L,24,18,31.66,13.91,0.82619,0.5095,0.24046,zhao_uCT_match
L,24,19,35.41,15.64,0.78488,0.55796,0.26952,zhao_uCT_match
L,24,20,38.73,17.47,0.7441,0.59678,0.30028,zhao_uCT_match
L,24,21,41.83,19.41,0.70279,0.62901,0.33231,zhao_uCT_match
L,24,22,45.8,21.34,0.64933,0.66775,0.36398,zhao_uCT_match
L,24,23,50.56,23.4,0.58305,0.70872,0.3972,zhao_uCT_match
L,24,24,55.49,25.87,0.50978,0.74149,0.43625,zhao_uCT_match
L,24,25,60.34,28.5,0.43489,0.76371,0.4771,zhao_uCT_match
L,24,26,65.18,30.93,0.36013,0.77858,0.51393,zhao_uCT_match
L,24,27,70.48,33.05,0.28012,0.79,0.54537,zhao_uCT_match
L,24,28,76.38,35.39,0.19202,0.79227,0.57917,zhao_uCT_match
L,24,29,82.09,37.65,0.109,0.7842,0.61085,zhao_uCT_match
L,24,30,88.6,40.04,0.01871,0.76538,0.6433,zhao_uCT_match
L,24,31,95.52,41.99,-0.07146,0.73986,0.66896,zhao_uCT_match
L,24,32,103.87,43.97,-0.17253,0.69873,0.69427,zhao_uCT_match
L,24,33,112.49,45.33,-0.26892,0.64951,0.71121,zhao_uCT_match
L,24,34,120.84,46.22,-0.35475,0.59405,0.72198,zhao_uCT_match
L,24,35,129.61,46.66,-0.43755,0.52876,0.7273,zhao_uCT_match
L,24,36,139.46,46.48,-0.52335,0.44759,0.72509,zhao_uCT_match
L,24,37,150.87,45.35,-0.61383,0.34209,0.71147,zhao_uCT_match
L,25,10,-4.65,0.82,0.9966,-0.08109,0.01438,zhao_uCT_match
L,25,11,0.23,2.73,0.99886,0.00409,0.04764,zhao_uCT_match
L,25,12,4.28,4.71,0.99385,0.07434,0.08213,zhao_uCT_match
L,25,13,8.36,6.04,0.98387,0.14466,0.10519,zhao_uCT_match
L,25,14,12.13,7.69,0.96887,0.20827,0.13385,zhao_uCT_match
L,25,15,16.01,9.3,0.94859,0.27214,0.16161,zhao_uCT_match
L,25,16,19.81,11.17,0.92302,0.33248,0.19364,zhao_uCT_match
L,25,17,23.76,13.5,0.88994,0.39183,0.23339,zhao_uCT_match
L,25,18,27.55,15.79,0.85317,0.445,0.27218,zhao_uCT_match
L,25,19,31.32,17.82,0.8133,0.49485,0.30604,zhao_uCT_match
L,25,20,35.18,19.65,0.76971,0.54261,0.33635,zhao_uCT_match
L,25,21,38.25,21.6,0.73014,0.57565,0.36814,zhao_uCT_match
L,25,22,41.54,23.71,0.68527,0.60719,0.40215,zhao_uCT_match
L,25,23,45.82,26.16,0.62551,0.64369,0.44091,zhao_uCT_match
L,25,24,50.61,28.68,0.55672,0.678,0.47997,zhao_uCT_match
L,25,25,55.42,31.23,0.4853,0.70405,0.51846,zhao_uCT_match
L,25,26,60.23,33.61,0.41347,0.72292,0.55356,zhao_uCT_match
L,25,27,65.37,35.8,0.33803,0.73732,0.58489,zhao_uCT_match
L,25,28,71.36,38.42,0.25043,0.74238,0.62141,zhao_uCT_match
L,25,29,77.48,40.58,0.16466,0.74143,0.65051,zhao_uCT_match
L,25,30,84.46,42.97,0.07062,0.72829,0.68162,zhao_uCT_match
L,25,31,91.66,44.86,-0.02056,0.70854,0.70537,zhao_uCT_match
L,25,32,99.55,46.56,-0.11405,0.67806,0.7261,zhao_uCT_match
L,25,33,107.77,47.87,-0.20474,0.63881,0.74162,zhao_uCT_match
L,25,34,116.69,49.21,-0.29342,0.5837,0.7571,zhao_uCT_match
L,25,35,125.67,49.66,-0.37748,0.52584,0.76224,zhao_uCT_match
L,25,36,135.55,50.05,-0.45834,0.44963,0.76666,zhao_uCT_match
L,25,37,148.4,48.08,-0.56908,0.35011,0.74402,zhao_uCT_match
L,25,38,159.34,45.71,-0.65331,0.2464,0.71587,extrapolated_local_linear
L,26,11,-4.62,3.06,0.99532,-0.08046,0.05345,zhao_uCT_match
L,26,12,0.06,4.82,0.99646,0.00102,0.08406,zhao_uCT_match
L,26,13,4.18,6.81,0.9903,0.07245,0.11854,zhao_uCT_match
L,26,14,8.22,8.93,0.97773,0.14128,0.1552,zhao_uCT_match
L,26,15,11.99,10.99,0.96025,0.20387,0.19069,zhao_uCT_match
L,26,16,15.71,12.87,0.93845,0.26394,0.2228,zhao_uCT_match
L,26,17,19.83,15.12,0.90809,0.32756,0.26092,zhao_uCT_match
L,26,18,23.54,17.43,0.87472,0.38103,0.29947,zhao_uCT_match
L,26,19,27.2,19.56,0.83811,0.43065,0.33483,zhao_uCT_match
L,26,20,31.0,21.73,0.79632,0.4784,0.37015,zhao_uCT_match
L,26,21,34.68,23.75,0.7527,0.52086,0.40267,zhao_uCT_match
L,26,22,37.94,25.78,0.71015,0.55362,0.43497,zhao_uCT_match
L,26,23,41.85,28.33,0.65566,0.58729,0.47455,zhao_uCT_match
L,26,24,45.99,30.93,0.59596,0.61694,0.51403,zhao_uCT_match
L,26,25,50.59,33.62,0.52869,0.6433,0.55375,zhao_uCT_match
L,26,26,55.36,35.98,0.46,0.6658,0.58746,zhao_uCT_match
L,26,27,60.22,38.55,0.38843,0.67875,0.62323,zhao_uCT_match
L,26,28,65.9,41.19,0.30727,0.68689,0.65862,zhao_uCT_match
L,26,29,72.04,43.64,0.22316,0.68845,0.6901,zhao_uCT_match
L,26,30,79.44,45.84,0.12773,0.68484,0.71741,zhao_uCT_match
L,26,31,87.33,47.66,0.03133,0.67274,0.73921,zhao_uCT_match
L,26,32,95.27,49.46,-0.05971,0.64728,0.75991,zhao_uCT_match
L,26,33,103.59,50.74,-0.14875,0.61511,0.77428,zhao_uCT_match
L,26,34,112.19,51.83,-0.23344,0.57221,0.78618,zhao_uCT_match
L,26,35,121.76,52.82,-0.31808,0.51389,0.79671,zhao_uCT_match
L,26,36,131.98,53.35,-0.39932,0.44375,0.80227,zhao_uCT_match
L,26,37,144.79,52.69,-0.4952,0.34949,0.79538,zhao_uCT_match
L,26,38,158.78,48.9,-0.61285,0.23799,0.75351,zhao_uCT_match
L,27,12,-4.06,4.35,0.99461,-0.07068,0.07589,zhao_uCT_match
L,27,13,-0.01,7.24,0.99203,-0.00018,0.12601,zhao_uCT_match
L,27,14,4.31,9.94,0.9822,0.07406,0.17262,zhao_uCT_match
L,27,15,8.19,12.39,0.96673,0.13917,0.21461,zhao_uCT_match
L,27,16,11.88,14.57,0.94712,0.19928,0.2515,zhao_uCT_match
L,27,17,15.75,16.82,0.92126,0.25984,0.28941,zhao_uCT_match
L,27,18,19.71,19.22,0.88891,0.31847,0.32926,zhao_uCT_match
L,27,19,23.3,21.38,0.85524,0.36827,0.36462,zhao_uCT_match
